,Loss train,Loss test,R2 train,R2 test,MSE train,MSE test,MAE train,MAE test,MAPE train,MAPE test
1,1.0424278578869852e+29,1.0424295366685934e+29,-4.4016620960592453e+27,-4.33817731603e+27,1.0424298e+29,1.0424295e+29,322866800000000.0,322866750000000.0,26398926000000.0,26253004000000.0
2,1.042422911073507e+29,1.0424158680967813e+29,-4.4016045093354344e+27,-4.3381205675014896e+27,1.0424162e+29,1.0424158e+29,322864670000000.0,322864670000000.0,26398750000000.0,26252835000000.0
3,1.0424092531632243e+29,1.0424020917353802e+29,-4.4015457643383554e+27,-4.338062676370121e+27,1.0424022e+29,1.04240205e+29,322862500000000.0,322862500000000.0,26398578000000.0,26252658000000.0
4,1.0423953116283979e+29,1.0423881789699974e+29,-4.401487246825769e+27,-4.338005031577692e+27,1.0423884e+29,1.0423882e+29,322860380000000.0,322860380000000.0,26398406000000.0,26252484000000.0
